wallet,missing_cell,mint_in_events,incoming_events,outgoing_events,mention_events,cell_outgoing_amount_guess,cell_outgoing_vs_missing_percent,all_outgoing_amount_guess,first_seen,last_seen,top_outgoing_destinations,datum_type_counts
Rj7J7MiX2bWy8sNyZFF8Sao66DuS1UuxzfnWqZ3NeM1g6m3YG58WQMZfp7UYKQCz253PEntkxf4c582DEka8JQT6hchA8kjyrjBJUGzu,95600.94808154464,34,0,0,19,0.0,0.0,0.0,2024-10-05T12:14:18,2025-06-07T06:29:45,,DATUM_TOKEN_EMISSION:53
Rj7J7MiX2bWy8sNyaypSmkykjUzrGWUmBTusoEwLYGQPnHP6baTA1VpttGexTaAgzUWQAgkTNrj94A5KhyDsg62F9J3BdktqH5muRzrd,90803.05999547946,12,0,0,7,0.0,0.0,0.0,2024-11-05T17:04:25,2025-02-10T19:24:47,,DATUM_TOKEN_EMISSION:19
Rj7J7MiX2bWy8sNyZ7xwYBfQyysjFaHECjRmQiRfMryn7jwAyCG7ALgVVMjacYKAxNcEKP3tCvEdFJZMditiMEqZREfzjeeCkG1GL26i,80001.51515001773,2,0,0,2,0.0,0.0,0.0,2025-03-01T21:54:48,2025-03-02T01:06:18,,DATUM_TOKEN_EMISSION:4
Rj7J7MiX2bWy8sNyYpGJK3kueDUh9tWRgZoVXXjoY7ufdPkXZGEDZLjZ6f76LNSwB8gJCVG6kMuDizSbK5LeQDexSDwJNCd35fa1j5uh,71079.2619219307,2,0,0,0,0.0,0.0,0.0,2024-12-05T00:00:27,2025-04-14T23:48:07,,DATUM_TOKEN_EMISSION:2
Rj7J7MiX2bWy8sNyXXD8tViFVReDcr4DcR693DoBQxxiUnuTB6oAwFPWrw3DbQav1iidUpackgWAFrxSqegd1okkeBpacasQ4MaBr8AX,68268.54464985363,511,0,0,402,0.0,0.0,0.0,2024-07-11T15:24:31,2025-05-18T07:27:47,,DATUM_TOKEN_EMISSION:913
Rj7J7MiX2bWy8sNyWvzTKWNysP3HBKZdp1yrTWoaW91pkvJkPoo1xFyqZExJZGFBa8rTdJAqyGTwxS19JJFZ8gQtg5JYp5c9cU32fYwj,66119.85762919772,57,0,0,7,0.0,0.0,0.0,2024-09-07T04:09:44,2025-07-12T19:15:06,,DATUM_TOKEN_EMISSION:64
Rj7J7MiX2bWy8sNyWyM4r71qpY9FwEjupVUSm4btSZpijTsz7YGHwnZ6JdXzGQ6RMfVcKAtyrkS9cbpXGfsASDov7XtocR7bMZvVwPJ8,65674.00445194569,21,0,0,15,0.0,0.0,0.0,2024-07-23T13:29:01,2025-02-13T14:47:20,,DATUM_TOKEN_EMISSION:36
Rj7J7MiX2bWy8sNyYU6MqwQjhcRs732EAp6vzJX8y3utwA5qMaKnpdJV57Mh6fD1Xg2oLsJ8yeoNdgw2rgPPgKHFFvQYkK6EEHU2pXK8,61848.87,2,0,0,2,0.0,0.0,0.0,2025-01-19T17:28:25,2025-04-10T14:26:20,,DATUM_TOKEN_EMISSION:4
Rj7J7MiX2bWy8sNyZimn61QPRWo11PNZnJTghLiEUqz18pgchgoX7jVPLHPpgUXADMfkzWY5H9VBEocD39Dy4zDYYSwnYNc7iNG75hNC,50564.7238281862,143,0,0,29,0.0,0.0,0.0,2024-08-29T18:42:12,2025-09-11T05:47:19,,DATUM_TOKEN_EMISSION:172
Rj7J7MiX2bWy8sNyXgsTocijR9FnRmxT2hEiF7UPNRmSQXphj13MUWBekQkdsxMyDWQLRSNngSm4vhazw3q3k9RFA3Qh4kj9Bm1zFSmu,49990.0,1,0,0,1,0.0,0.0,0.0,2025-07-06T12:29:30,2025-07-06T12:31:29,,DATUM_TOKEN_EMISSION:2
Rj7J7MiX2bWy8sNyXtGvZZfhQLoBivmuWGBvK1xXmfZFbpaVVq7Ast1hhB2FGyq1DHqLCAYaEifMrYfTpKUyZAjRFiDM4bsk7qxPz47F,48437.75583919799,16,0,0,0,0.0,0.0,0.0,2024-10-12T08:23:26,2025-04-03T04:26:47,,DATUM_TOKEN_EMISSION:16
Rj7J7MiX2bWy8sNyaudMUcqunfGAv2VVs91XNYiVrKEycwpaXSJ8NMUTa3H5NgB2ykYcN2M47xtxHmcfMzitLqpwsMYkQFRgTwsgGi85,48262.29281587398,6,0,0,0,0.0,0.0,0.0,2025-03-28T20:47:46,2025-05-01T20:10:17,,DATUM_TOKEN_EMISSION:6
Rj7J7MiX2bWy8sNya2AqZWcyaf9K8yvfGEAoGrEeEczbcHhKtPjsyDNYJPqtTxHB9cAvodFW4xi8B9YR95eMwQU1qJHhBJXovcwmXVMe,46604.197474536806,3,0,0,1,0.0,0.0,0.0,2024-12-26T16:58:58,2024-12-26T17:17:25,,DATUM_TOKEN_EMISSION:4
