chain,token,target_wallet,direction,block_number,tx_hash,log_index,from,to,amount_raw,amount_cell,balance_before_cell,balance_after_cell
bsc,0xf3e1449ddb6b218da2c9463d4594ceccc8934346,0xa9ad874081775c3634d0e70192877942e245b9e8,out,95319038,0x8614e714e46c78029653b4deadebe72e35cb3802ae1f9f200b4d097cc5f01933,447,0xa9ad874081775c3634d0e70192877942e245b9e8,0x5b34f3eba94003cdb2c2f86ce39d3a1634be87e7,151125000000000000000000,151125,3551757.2,3400632.2
bsc,0xf3e1449ddb6b218da2c9463d4594ceccc8934346,0xa9ad874081775c3634d0e70192877942e245b9e8,out,95319196,0xf226baaf1e5da78d9934e3938c499cf514d19724d5fa57380c569406363670a4,132,0xa9ad874081775c3634d0e70192877942e245b9e8,0x5b34f3eba94003cdb2c2f86ce39d3a1634be87e7,140024000000000000000000,140024,3400632.2,3260608.2
bsc,0xf3e1449ddb6b218da2c9463d4594ceccc8934346,0xa9ad874081775c3634d0e70192877942e245b9e8,out,96552074,0xd3bba0101dd75d4926eb39bf9bcb37c639bec08fe0e03b28b783ca4dede6eadd,128,0xa9ad874081775c3634d0e70192877942e245b9e8,0x41eef4a4aa4596d6e896fc8aab3ed2170af79ed7,260147000000000000000000,260147,3260608.2,3000461.2
bsc,0xf3e1449ddb6b218da2c9463d4594ceccc8934346,0xa9ad874081775c3634d0e70192877942e245b9e8,out,96552157,0x1584b824b3dc295afebae356ffdbdcaa657bd68a975711b8fff8e6a7c6005b2f,30,0xa9ad874081775c3634d0e70192877942e245b9e8,0xf2aec938a1fb7a997a7ba0c6cc2c7bc08e40e137,187465000000000000000000,187465,3000461.2,2812996.2
bsc,0xf3e1449ddb6b218da2c9463d4594ceccc8934346,0xa9ad874081775c3634d0e70192877942e245b9e8,out,96557611,0x9d5ab1f34c13616e95c1a7b95b9389657ac17236615fcf18b3b7ef70a6a7ceea,56,0xa9ad874081775c3634d0e70192877942e245b9e8,0xc858cb64cc1ca839060a71a732872da96f0c52e5,187445000000000000000000,187445,2812996.2,2625551.2
