chain,token,target_wallet,direction,block_number,tx_hash,log_index,from,to,amount_raw,amount_cell,balance_before_cell,balance_after_cell
bsc,0xf3e1449ddb6b218da2c9463d4594ceccc8934346,0x8929e2e6eaf88e313d26fa2551ac5479807fd413,out,93989480,0x70dea3f929eed79907fdbebb6a91f3b5e00882421b94232ce277e74db48879f7,38,0x8929e2e6eaf88e313d26fa2551ac5479807fd413,0x458b14915e651243acf89c05859a22d5cff976a6,1000000000000000000000000,1000000,4487005.2,3487005.2
bsc,0xf3e1449ddb6b218da2c9463d4594ceccc8934346,0x8929e2e6eaf88e313d26fa2551ac5479807fd413,in,94055098,0x53d865180ec62b1dbef5d15146a6ec37491b62cd7e10b32f85bbe9d51c54aeb1,45,0xcacdbc3f50b73ce847379865e6dc9fee3026d013,0x8929e2e6eaf88e313d26fa2551ac5479807fd413,64752000000000000000000,64752,3487005.2,3551757.2
bsc,0xf3e1449ddb6b218da2c9463d4594ceccc8934346,0x8929e2e6eaf88e313d26fa2551ac5479807fd413,out,94056390,0x3973ad2eaa9239e3bfcc7129398cae1c06e3204612cfb59786b08933a794f0b9,169,0x8929e2e6eaf88e313d26fa2551ac5479807fd413,0xa9ad874081775c3634d0e70192877942e245b9e8,3551757200000000000000000,3551757.2,3551757.2,0
