recipient,first_block,amount_cell,txs,share_of_total_out_percent
0x79b6b251ba2ef724f30a6ad432df1aebbb4a3f0c,22851389,1013.9267,1,0.1079008782170662281090460304
0x5f6158ee6b6e6820718517e3d82656428f36d069,22941856,1009.45,1,0.1074244731066037653063840960
0x07d4d0040a9af9457f512c64ffe066ec253ab57d,22851329,1006,1,0.1070573281938118657667268321
0x59a0563f0a89331f93375d5e657c695ec2602ed1,23075304,1006,1,0.1070573281938118657667268321
0x318ffab960e0ed407af4f49b82ff49106ac4e0b0,22929871,1004.99,1,0.1069498451903568459014938359
0x50654980d39b0c0583aeefb1d0248d2e8a4e0d7a,23019397,1004.0812,1,0.1068531317710103884227574529
0xbf22275d4eeb4f40b59d65353eb7a5ff991d8e79,23069545,988,1,0.1051417895183758681685150199
0x021d4fc4c509adee5e81327a19742db0b43b0c50,22885644,972.645,1,0.1035077286094136602173737769
0x87fe928db5f072710cf5b750fbd2e40ebe84649d,22996201,958.682,1,0.1020218026913518360804942473
0x2b1dcc1ca7e9737aac31c3e93b81d25d340b8eaa,22872950,939,1,0.09992726756857787470671619811
0xb047f3d9e1d6fbfbb4e960db9a1827540638e137,22849902,909.83,1,0.09682303072621853859894738927
0xa91585c41554014971742f347e47ea35bb33efc6,23015449,866.61,1,0.09222360952886610436590769376
0x391c5b3dbba3e7738f04ce772cc49b72e03b86e7,22907383,841.74,2,0.08957697359230536768437837337
0x71ef8214d026e052c9040cfb6e2e616ed86ab99f,22850487,746.53278268577128,4,0.07944513431752509773786838592
0x338dc647146da0ee7a73ad7ff363b25f1a3b5590,22858774,708.8,1,0.07542965628605750542291846775
0x89479b8e73d4237b1f75c09f59c27f3d7a071317,22854961,700.5646301179083,2,0.07455325797963153638205872467
0xf9c66ea713193043b461ad05a9d65cb006f08e07,23098521,700.29827214,1,0.07452491247917629884360677613
0xcb3b366ced5ab2170d2ac72a5a97c4747e9186d8,22872708,695.058489715851,1,0.07396730104115812128723697444
0xc374d1a0ca227acaca5c13786da73901b1be1223,22882304,662.1,2,0.07045989761145411165422448857
0x7239a1811588b054f32cc25321133089cb0cc736,22990863,515.5893893894,1,0.05486841200110144836012628668
0xd93ef487e2fe1b04771d14fb4bcb65621f864bbe,22850970,500,1,0.05320940765099993328366144734
0xb0791ab49d96a0e2b9f04dfac65451b2390e176a,22864424,500,2,0.05320940765099993328366144734
0x54d0e4370efdfd02b6a92d905d6465754e1c9332,23014194,500,1,0.05320940765099993328366144734
0x6eb3fc93ec95eb203b764dafab88a54f3fa8fcd0,22858319,499.025,1,0.05310564930608048341375830752
0xfd863ddb0952ce26bca3299750fc557fd9f0c988,22853666,483.16,1,0.05141731480131425553066772980
0x477b64f8394dd2ac8a179fc9ba7ba963ee325a0c,22863776,481.1333,1,0.05120163578834169240109573648
0x32a70dbff21ece6b158632f1cd0305dea8027ff3,22881143,472.7174400796546,2,0.05030602994587095196940114500
0x7c85a8c638978fb0f416155e62edc1da8407b764,22869779,464.5976339024343,1,0.04944192979200930726738359020
0x7d96a177338ea76bb5af9024ffd3f8e82f4956fc,22883123,435.753,1,0.04637231802429234785631065333
0x604021d215e0cac0c80d33b15d2ec32fc511be01,22935997,409.26344,1,0.04355333043122110427088355947
0x29235674eddf2beee69a1bbae30d452695f4cb44,22851481,407.949135459553062,3,0.04341346369908070176270128756
0xac00617662630d12ff54d25901aff26cecd021f2,22858084,370.5,1,0.03942817106939095056319313248
0x87702c6328b064609bfe59e27e8a7c5a4d8ede64,22855559,348,1,0.03703374772509595356542836735
0x3552acb70f76087449740859048373664cdae99b,22924814,317.29,1,0.03376562590717153766314588125
0xca144164b249586ad0937de3ebe22a19525906ff,22996889,310,1,0.03298983274361995863587009735
0xdc504369934c37a7da428723da0e5c5d9ab70b68,22851278,301.045398520602,1,0.03203689466268088811055834916
0xc6038ba6182007ed25b7ecb23963ccbb488625c9,22875770,288.5086195392796,1,0.03070274549578554559005896611
0xff6d5d6cff2b90392caf082689916cb2ea993b88,22927270,284.999,1,0.03032925594225465997182045766
0x2ea10a6d65a578a07e44538bea6b9ad8562fc3bc,22945854,268.9924,1,0.02862585253324166890762394702
0x9bb6c26015583a2cbc6e7aa8c22fa564f6bca4c7,23100879,268.50168313,1,0.02857363102528756342836161268
0x4db001aacecf277c80e87f144119f04f058b39ce,22863808,253.80542254180392,1,0.02700967238412226487044259024
0xbebd468e90b543b0efce176a4e0009b7f8858e21,22873382,252,2,0.02681754145610396637496536946
0x0224aa9245b9d82643e850092cc9ddfb580b012c,22851445,236.23,1,0.02513931673879142847919868741
0xca894331e3dcb9bf663351b663bdb345f35ce69f,22988961,224.392,1,0.02387953080324635405877471898
0xad2b2f10edeac77525323a914e584aa4bb56be95,22852503,200,1,0.02128376306039997331346457894
0xf8ded6cc7c207716518c6395899d1fc326f32945,23058703,189.9,1,0.02020893302584977466113461770
0x9ce5a5c5d6769a7236ddb3b586ff39a5bf9c6221,22851766,183.27059254630417,2,0.01950343933847321689565661121
0xb05a04aa86e6aced0bac71f98a7f1a3751fcd7ac,23069517,173.5,2,0.01846366445489697684943052223
0x3570ead6a101d2e0f4e0c2fcfa03b71a121c9089,23009768,170.85534,1,0.01818222287082038988231458606
0xda0ec466316063a04e42144fa9a937b522ebd95d,22907381,166,2,0.01766552334013197785017560052
0x6c7e09f70fe7fcb62a9302855cc42021ebdf4844,22854996,150.33032,1,0.01599797455837053658102295230
