recipient,first_block,amount_cell,txs,share_of_total_out_percent
0xa2c1e0237bf4b58bc9808a579715df57522f41b2,27274950,552542.490668547969999423,3,73.80885657442417011524161390
0xda8a4204de68f959ca2302c4febc4ee5b6cc32f5,38886247,103911,2,13.88047475991434924303451272
0x7d1a7fd9eb07e6d9f68bb94f8024d3b613d658fc,39546038,50000.169859403894260767,1,6.679043563481113169302810257
0x231bfb95c2feaf36d41826da6299f13638d2513c,35865330,41016.062,4,5.478942685010076538980056413
0x530548c86746cc2b33d44dc695b15d555847573e,37333021,1000,1,0.1335804174718205891872324655
0xfcfc9568b1eefc0e48d56a8b99c30a9d7ed44be5,35005943,143,1,0.01910199969847034425377424257
