recipient,first_block,amount_cell,txs,share_of_total_out_percent
0xf724d0fe6cff20e1d4aa54e46c488e861926e109,66812755,2916.58,1,0.1386718230516653476933269329
0x4c4b569a5d56446ef34fbb31ae284897f5a5677f,67018646,2899,1,0.1378359637063882502667352785
0xdc7740ecc0caf4f14ac4f559dc8b9877d0f5e8e9,66672145,2798.84,1,0.1330737525560495654972574566
0xbdd1ea38f84f348bb6ece52604b08c08355d32bf,66687575,2797.84,1,0.1330262065182067271908529257
0xc3a3036ddaa8ca4637cfc091c1691c1a246b11d2,66577611,2730.06,1,0.1298035360732191467827538166
0x016e43314207b1929db49b5d007140a929ee6680,66642558,2049.39,1,0.09744037449473439676238172208
0x25adf8da312edf6ad7ef0a3833465a99a717b188,66722194,2016.03,2,0.09585423867229731086072656896
0x8cfc2e18ddd70514141b35a7ee90eb68918c42e8,66687474,1960.32,1,0.09320544890407278881093014869
0xad8a4f72c5f10e724f667165c7e92de192642256,66686616,1509.6,2,0.07177549872754870734827995045
0x26ac7fd562d6a1c8d82dc357b46bafa810868cc9,66782995,1497.27,2,0.07118925608094651103031208360
0xb37db7773af29f02d648e252edb0e8ace513c388,66716044,1471.19,1,0.06994925541400528799928191594
0x4530ea7a8453f3ace562dafecc4475eb82b1bef1,66911783,1422.204229,2,0.06762017609227867673172172854
0xacbe22fb19bae049df1ad7375b101ef67619fd4a,66583616,1408.71,1,0.06697857896958475061512682101
0xfeb48054cbfa3884fc25e2f9f7cb7b53ce0df628,66792295,1406.48,1,0.06687255130519522119184471695
0xf622021daf3f8dff8cc4a9846b5b8162a7c53900,67129035,1351.32,1,0.06424991185778426021057078871
0x2febf897340ef2e1d20ff2b097d6a194fa63c296,66566214,1251.75,1,0.05951575286977285004187164015
0x381b6a2933531aba4640b259c23ef39085c836cd,66582165,1207.13,2,0.05739424866122540481010146833
0xbd4890a568681bdfab924d2a70d6644c346aef8f,66544787,1171.02,2,0.05567736123472051356583385504
0x2a75299793da58385dd9a68a105cf6864467b2d9,67121046,1165.64,1,0.05542156355112604347737747843
0xb9b54f6105f141cdbc820bcfd561e78b12e725b7,66629742,1061.46,1,0.05046821732865914871615344211
